E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
85,192,-1,-64,-74,178,96,-13,47,110,37,120
69,201,5,-63,-53,180,77,-10,45,112,50,112
64,202,26,-47,-40,182,72,-14,40,109,68,102
64,199,37,-18,-37,185,57,-17,32,92,72,90
65,201,54,11,-18,211,52,-21,21,99,62,80
71,203,56,34,-14,224,44,-26,13,88,62,69
58,206,57,48,-13,227,47,-15,-6,71,44,61
57,209,57,53,-26,202,59,-14,-22,58,36,57
50,207,57,55,-43,169,72,-2,-28,57,22,64
48,198,50,56,-50,153,79,9,-34,62,10,81
48,195,43,52,-53,149,79,18,-20,64,7,75
45,176,33,45,-53,148,75,21,-20,66,9,74
37,168,28,39,-49,147,64,14,-19,61,12,61
26,160,34,33,-38,153,52,8,-19,55,19,53
16,154,41,37,-32,152,41,11,-25,48,28,48
13,146,44,40,-25,142,32,26,-27,45,32,49
15,140,44,35,-18,129,20,47,-34,47,32,53
25,139,41,44,-12,121,3,63,-43,50,23,61
36,141,37,39,-5,122,-11,76,-50,46,14,72
50,147,32,47,-3,131,-23,86,-53,35,11,74
60,154,29,59,-2,140,-23,91,-51,24,11,67
70,157,35,70,-4,138,-7,94,-46,16,21,54
69,154,21,75,-12,124,-5,100,-43,-4,29,40
65,155,23,75,1,130,5,101,-41,-9,30,36
68,158,24,69,-2,129,-2,100,-37,-19,47,38
55,161,24,67,-10,137,-19,125,-29,-17,40,42
53,164,29,68,-19,142,-33,146,-18,-13,41,41
40,154,35,71,-28,147,-41,178,-1,-13,41,42
29,135,37,76,-27,144,-44,201,5,-17,52,53
25,122,39,80,-23,134,-49,211,21,-24,64,52
30,105,39,81,-21,115,-54,215,22,-22,79,68
36,113,38,78,-23,92,-65,217,21,-16,100,76
39,120,37,71,-19,71,-77,219,16,-8,114,84
45,132,33,66,-12,57,-87,219,14,-3,125,80
55,143,31,59,-3,50,-91,221,9,-1,131,73
64,144,23,49,3,56,-92,225,0,-9,135,75
67,137,18,58,-1,64,-89,231,-7,-25,145,79
64,128,20,45,-15,74,-78,234,-21,-33,167,86
53,122,21,39,-29,86,-67,241,-29,-31,192,84
36,120,26,36,-29,105,-58,249,-27,-18,206,79
25,126,47,38,-27,120,-42,250,-10,-1,212,69
18,128,51,38,-39,125,-42,248,19,-1,205,60
11,121,72,37,-31,146,-29,243,45,11,195,58
14,103,83,34,-28,149,-16,235,67,9,198,58
8,75,87,28,-15,151,1,246,87,10,195,64
21,54,90,26,-3,149,12,232,108,21,200,61
30,59,94,29,1,148,15,212,124,36,203,49
43,84,100,42,0,147,22,195,123,48,211,48
